fft_alpha,corner_energy,circular_power_ratio,fft_horz,fft_vert,label,filename,predicted
-0.9327014739181889,1.4817676544189453,0.40296670794487,419.28271484375,476.4464111328125,Real,ILSVRC2012_val_00000025.JPEG,Fake
-1.3457157626906595,1.1468462944030762,0.616125762462616,434.5143127441406,806.4661254882812,Real,ILSVRC2012_val_00000035.JPEG,Fake
-0.8834468841148527,1.4908051490783691,0.36831358075141907,411.5774230957031,502.99383544921875,Real,ILSVRC2012_val_00000067.JPEG,Fake
-1.5415688989130472,0.9438732266426086,0.6760302782058716,395.8050537109375,513.9886474609375,Real,ILSVRC2012_val_00000079.JPEG,Fake
-1.3354948960854283,1.2049212455749512,0.5557223558425903,291.886962890625,287.6200866699219,Real,ILSVRC2012_val_00000086.JPEG,Fake
-0.9844918391620124,1.2097276449203491,0.5164455771446228,587.3690795898438,594.744873046875,Real,ILSVRC2012_val_00000118.JPEG,Fake
-1.6806084537071075,0.7678747177124023,0.7092406153678894,319.6629638671875,295.95867919921875,Real,ILSVRC2012_val_00000133.JPEG,Fake
-1.693737256036256,0.6911805272102356,0.7435950636863708,604.64013671875,583.492919921875,Real,ILSVRC2012_val_00000143.JPEG,Fake
-1.6197117027080432,0.9028968214988708,0.7065887451171875,704.3743286132812,662.3992919921875,Real,ILSVRC2012_val_00000149.JPEG,Fake
-1.439265398311893,0.9587303400039673,0.6463323831558228,302.0673828125,344.2154846191406,Real,ILSVRC2012_val_00000156.JPEG,Fake
-1.3986022379143253,1.1067399978637695,0.5818818211555481,374.83013916015625,397.3099670410156,Real,ILSVRC2012_val_00000158.JPEG,Fake
-1.5692156181147574,0.8522379398345947,0.6960647702217102,520.7725219726562,432.4371032714844,Real,ILSVRC2012_val_00000194.JPEG,Fake
-1.6454230286257976,0.9640616178512573,0.7063900828361511,413.14984130859375,350.491455078125,Real,ILSVRC2012_val_00000195.JPEG,Fake
-1.4085748026287537,1.1190762519836426,0.5900164842605591,389.2727966308594,328.4701232910156,Real,ILSVRC2012_val_00000198.JPEG,Fake
-1.4051466101167827,1.1564526557922363,0.6379292011260986,554.5454711914062,407.3957214355469,Real,ILSVRC2012_val_00000218.JPEG,Fake
-1.3008843691537422,1.137616753578186,0.5655694007873535,376.1446533203125,353.0738830566406,Real,ILSVRC2012_val_00000247.JPEG,Fake
-1.3318583178256236,1.2358306646347046,0.5298230648040771,338.1065673828125,373.4606018066406,Real,ILSVRC2012_val_00000258.JPEG,Fake
-1.4530117045848234,1.0838804244995117,0.6682056188583374,586.7439575195312,670.810791015625,Real,ILSVRC2012_val_00000277.JPEG,Fake
-1.5132972950180619,1.131174087524414,0.6449198126792908,424.6724853515625,505.91845703125,Real,ILSVRC2012_val_00000279.JPEG,Fake
